Time,Lap_Number,Engine_RPM,Engine_Torque_Nm,Speed_MS,Lat_Accel_G,Long_Accel_G,Pitch_Rad,Roll_Rad,CG_Height_m,Load_FL_N,Load_FR_N,Load_RL_N,Load_RR_N
2.787,1,0,0.0,0.0,0.061,-0.143,0.977,0.0194,0.0,-2,0,0,100
2.803,1,0,0.0,0.0,-0.057,0.122,0.977,0.0203,0.0,2,0,0,100
2.835,1,0,0.0,0.0,0.019,-0.123,0.977,0.0193,0.0,-2,0,0,100
2.852,1,0,0.0,0.0,-0.021,0.125,0.977,0.0203,0.0,2,0,0,100
2.868,1,0,0.0,0.0,0.029,0.123,0.977,0.0191,0.0,2,0,0,100
2.9,1,0,0.0,0.0,0.025,0.117,0.977,0.0181,0.0,2,0,0,100
2.917,1,0,0.0,0.0,0.051,0.117,0.977,0.0178,0.0,2,0,0,100
2.947,1,0,0.0,0.0,0.009,0.13,0.977,0.0184,0.0,2,0,0,100
2.977,1,0,0.0,0.0,-0.034,0.142,0.977,0.0195,0.0,2,0,0,100
2.993,1,0,0.0,0.0,0.063,0.155,0.977,0.0208,0.0,2,0,0,100
3.025,1,0,0.0,0.0,0.009,0.167,0.977,0.0207,0.0,2,0,0,100
3.056,1,0,0.0,0.0,0.101,0.15,0.977,0.0205,0.0,2,0,0,100
3.087,1,0,0.0,0.0,0.062,-0.142,0.977,0.0207,0.0,-2,0,0,100
3.104,1,0,0.0,0.0,-0.034,0.147,0.977,0.019,0.0,2,0,0,100
3.12,1,0,0.0,0.0,0.037,0.162,0.977,0.0174,0.0,2,0,0,100
3.152,1,0,0.0,0.01,0.096,0.151,0.977,0.0165,0.0,2,0,0,100
3.183,1,0,0.0,0.0,-0.029,-0.154,0.977,0.0183,0.0,-2,0,0,100
3.2,1,0,0.0,0.0,-0.007,0.136,0.977,0.0188,0.0,2,0,0,100
3.231,1,0,0.0,0.0,0.001,-0.121,0.977,0.0213,0.0,-2,0,0,100
3.262,1,0,0.0,0.0,0.147,-0.151,0.977,0.0201,0.0,-2,0,0,100
3.278,1,0,0.0,0.0,-0.089,-0.151,0.977,0.0205,0.0,-2,0,0,100
3.295,1,0,0.0,0.0,0.126,0.131,0.977,0.02,0.0,2,0,0,100
3.325,1,0,0.0,0.0,0.051,0.138,0.977,0.02,0.0,2,0,0,100
3.356,1,0,0.0,0.0,0.014,0.169,0.977,0.0202,0.0,2,0,0,100
3.388,1,0,0.0,0.01,0.056,-0.146,0.977,0.0193,0.0,-2,0,0,100
3.404,1,0,0.0,0.01,0.019,0.168,0.977,0.0208,0.0,2,0,0,100
3.42,1,0,0.0,0.01,0.039,0.146,0.977,0.0191,0.0,2,0,0,100
3.451,1,0,0.0,0.01,0.013,0.16,0.977,0.0209,0.0,2,0,0,100
3.467,1,0,0.0,0.0,0.175,-0.144,0.977,0.0206,0.0,-2,0,0,100
3.498,1,0,0.0,0.01,0.142,0.125,0.977,0.0209,0.0,2,0,0,100
3.529,1,0,0.0,0.0,0.079,0.143,0.977,0.0209,0.0,2,0,0,100
3.546,1,0,0.0,0.0,0.02,0.126,0.977,0.0208,0.0,2,0,0,100
3.562,1,0,0.0,0.0,0.026,-0.147,0.977,0.0204,0.0,-2,0,0,100
3.593,1,0,0.0,0.0,-0.013,0.17,0.977,0.0185,0.0,2,0,0,100
3.625,1,0,0.0,0.01,-0.034,0.169,0.977,0.0193,0.0,2,0,0,100
3.656,1,0,0.0,0.0,-0.007,0.137,0.977,0.0205,0.0,2,0,0,100
3.688,1,0,0.0,0.01,0.043,-0.162,0.977,0.0205,0.0,-2,0,0,100
3.719,1,0,0.0,0.0,0.056,-0.13,0.977,0.0202,0.0,-2,0,0,100
3.75,1,0,0.0,0.01,0.067,0.148,0.977,0.0201,0.0,2,0,0,100
3.781,1,0,0.0,0.0,0.072,0.133,0.977,0.0195,0.0,2,0,0,100
3.798,1,0,0.0,0.0,0.023,0.156,0.977,0.0202,0.0,2,0,0,100
3.814,1,0,0.0,0.0,-0.031,-0.179,0.977,0.0194,0.0,-2,0,0,100
3.845,1,0,0.0,0.0,-0.043,-0.167,0.977,0.0192,0.0,-2,0,0,100
3.861,1,0,0.0,0.0,0.009,-0.15,0.977,0.0209,0.0,-2,0,0,100
3.878,1,0,0.0,0.0,-0.007,0.153,0.977,0.0204,0.0,2,0,0,100
3.894,1,0,0.0,0.0,-0.031,0.146,0.977,0.0207,0.0,2,0,0,100
3.924,1,0,0.0,0.0,0.011,0.156,0.977,0.0185,0.0,2,0,0,100
3.955,1,0,0.0,0.0,0.002,0.124,0.977,0.0193,0.0,2,0,0,100
3.972,1,0,0.0,0.0,0.023,0.153,0.977,0.0204,0.0,2,0,0,100
4.003,1,0,0.0,0.0,0.004,0.17,0.977,0.0202,0.0,2,0,0,100
4.02,1,0,0.0,0.0,0.055,0.135,0.977,0.0203,0.0,2,0,0,100
4.051,1,0,0.0,0.01,0.025,0.15,0.977,0.021,0.0,2,0,0,100
4.067,1,0,0.0,0.0,-0.173,-0.143,0.977,0.0204,0.0,-2,0,0,100
4.098,1,0,0.0,0.0,-0.109,0.156,0.977,0.0208,0.0,2,0,0,100
4.115,1,0,0.0,0.0,-0.022,-0.169,0.977,0.0191,0.0,-2,0,0,100
4.132,1,0,0.0,0.0,-0.025,-0.144,0.977,0.0205,0.0,-2,0,0,100
4.162,1,0,0.0,0.0,0.059,-0.145,0.977,0.0201,0.0,-2,0,0,100
4.178,1,0,0.0,0.0,-0.028,-0.147,0.977,0.0203,0.0,-2,0,0,100
4.195,1,0,0.0,0.0,0.04,0.148,0.977,0.0204,0.0,2,0,0,100
4.225,1,0,0.0,0.0,-0.005,0.16,0.977,0.0203,0.0,2,0,0,100
4.257,1,0,0.0,0.0,-0.115,-0.134,0.977,0.0189,0.0,-2,0,0,100
4.288,1,0,0.0,0.0,0.014,-0.16,0.977,0.0197,0.0,-2,0,0,100
4.32,1,0,0.0,0.0,0.03,0.138,0.977,0.0194,0.0,2,0,0,100
4.35,1,0,0.0,0.0,-0.028,0.134,0.977,0.0206,0.0,2,0,0,100
4.381,1,0,0.0,0.0,-0.016,0.137,0.977,0.0212,0.0,2,0,0,100
